Run,Energy (eV)
1,4.9222002029418945
2,4.942800045013428
3,4.963699817657471
4,5.694499969482422
5,5.716300010681152
6,5.38070011138916
7,5.401500225067139
8,5.421500205993652
9,5.441699981689453
10,5.461299896240234
